"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
4,11,6,4,19137,45,10,158,7843,8393,394,140817,4333,21108,198,14249,8290,35,39,2,1496,10340,21600,5,198571,2859,8438,18488,27,7896,770,3308,6,109363,118610,47814,2088,42,91,7,26160,270,6,10,63,302,48886,6,4951,2669
102,7,17,15,115961,44,1,137,20551,84385,61,38371,2388,406714,295,26245,11963,5,15,59,1679,4173,5046,24,152492,558,3298,48013,145,13359,217,9613,3,17120,191620,44304,9854,10,181,4,61416,27,14,7,1029,130,65085,3,1135,57721
20,4,34,9,3433,63,4,241,6501,15197,62,373353,17672,16436,19,19036,14067,31,10,7,1693,6231,21383,13,251247,965,4538,25749,67,8473,265,15436,2,201043,10230,261372,10751,62,25,7,25187,317,8,6,136,1160,68355,8,849,7221
94,3,54,5,51137,12,13,186,10595,9625,300,78105,65441,9457,77,15896,58200,81,24,2,836,133809,15850,13,23572,1260,14673,178614,18,3808,112,36137,3,13607,71265,43416,4979,34,201,1,15670,132,12,7,55,1856,351655,5,1384,32196
20,7,7,2,122933,47,30,12,4508,17078,771,132131,2156,94004,471,19368,3341,36,119,30,648,2194,9295,70,256885,280,4817,203031,200,7012,29,11970,7,128049,31826,16110,1588,201,144,7,14951,149,16,11,34,533,108431,10,608,3684
44,2,139,1,110312,6,23,50,7742,10119,224,159677,12904,18001,57,10461,29836,41,12,8,630,31516,69183,8,12036,4293,34178,33863,3,10352,1373,67830,6,8869,13672,133975,39138,13,64,9,177135,207,6,5,177,1342,258063,9,1256,17858
25,2,33,19,50957,16,22,63,1313,49609,1427,176923,790,11495,1126,90116,8498,4,31,51,4955,4996,2753,9,216581,3430,16638,20836,141,23341,163,2425,4,48669,163331,159498,1507,11,93,17,68079,38,9,5,70,944,125639,3,319,60401
10,2,65,2,17438,7,50,86,7525,9680,1047,59835,10590,11293,124,14501,20001,28,13,9,5468,15652,15811,9,91215,1699,11634,221232,13,12117,96,6657,10,246532,99690,26573,219,109,1759,16,4413,21,20,5,97,490,193488,9,1099,8185
18,19,18,44,9595,7,11,135,24415,3456,134,62668,63368,38708,134,3130,18555,4,37,9,2682,21453,4640,10,88664,2831,12528,36089,14,12271,415,5892,4,73493,177326,64496,1722,23,275,31,12437,11,25,30,258,168,48941,2,3389,15365
127,3,13,7,122393,23,14,36,5368,18097,207,444093,7999,12051,31,38434,205180,55,3,3,739,248228,30784,10,23405,1173,99722,60244,28,2211,93,13841,39,10261,46715,59131,24550,23,133,4,21694,379,38,5,11,399,250683,32,138,14992
87,4,39,1,28975,6,32,135,32275,16515,68,45343,7809,181660,75,4609,9461,31,33,45,572,6920,1566,59,214364,1136,2061,60293,185,6318,336,1223,22,12747,99913,19894,5139,61,175,7,21151,54,53,1,9,344,697195,7,346,9020
27,13,47,5,15504,32,52,108,3536,10423,238,31444,14320,115780,381,4661,10805,32,35,7,1711,8856,29574,3,195235,605,11836,17604,53,4834,613,3807,1,119168,192678,44872,550,26,1053,13,21409,65,12,3,499,618,65064,2,597,28248
35,6,66,4,140541,18,9,107,5727,22035,261,190898,7672,50867,173,25373,8481,6,7,185,1538,5512,1450,25,107871,1507,6586,58661,113,8510,73,11336,2,43411,12295,120239,7483,233,37,1,19399,245,25,10,174,256,34781,6,1318,164824
236,16,6,3,17980,42,59,28,5389,116368,813,27047,615,72675,807,28449,2255,16,22,43,1859,3379,3629,29,105545,829,7357,155342,90,1611,101,48828,3,53620,8981,137742,891,108,209,9,22135,108,9,2,97,1579,78302,4,730,29336
15,5,11,16,21859,5,33,149,8930,4388,381,313535,5883,6274,394,10117,255096,5,6,3,14397,12418,4401,7,133922,2296,11391,34625,16,2617,810,5194,24,16245,225481,45020,5231,61,90,23,16610,89,6,5,99,995,131565,23,1145,7948
30,1,19,8,96965,8,12,297,25497,11533,41,132843,6359,245764,22,16001,8271,45,38,9,1933,6881,41261,20,115377,899,4683,78881,30,13843,255,6553,4,40653,39962,26816,2905,49,206,9,24034,120,25,5,89,592,386435,5,234,3593
80,7,21,9,31882,33,48,55,6502,5595,398,37022,4303,15847,95,10878,59399,15,5,20,1395,12839,8963,15,74974,663,19666,60776,30,20922,311,2972,2,149427,179077,73456,1697,27,629,12,28812,17,20,7,124,290,608465,3,760,9847
61,1,18,1,147761,13,65,92,15653,14075,156,23678,21614,41889,345,3743,21402,12,31,7,3958,1575,18417,35,48631,480,5839,354908,105,1213,46,13048,31,62190,11744,25933,9125,128,167,4,14952,219,6,4,152,1428,76770,3,1144,16845
13,4,39,8,45729,20,4,23,12980,33673,323,51492,17852,22647,110,9379,14443,25,39,8,1236,5899,34592,80,71201,292,6608,58630,49,11625,863,6752,5,8004,119806,358262,8319,16,59,17,182005,56,5,5,63,1268,461985,5,1032,18493
11,3,10,11,207938,28,7,38,65507,11762,211,126747,3162,22451,290,27918,4723,4,14,80,2930,2266,3950,25,26930,5467,7048,91846,40,13077,118,2670,2,36840,416515,186171,2282,9,141,68,41989,24,7,8,343,450,181193,9,1341,10875
48,1,125,1,54908,19,104,46,3648,6360,753,111290,576,15628,125,52099,36877,2,15,13,2369,3046,19644,15,123865,1500,30750,56893,13,5684,1518,9858,7,50159,39308,65739,3415,30,94,15,24512,17,12,9,290,264,101523,7,1228,1178
622,5,5,3,88643,45,13,14,4380,29055,557,30531,27612,25093,72,42631,17175,8,13,15,1594,9744,18864,7,123350,1745,18435,9588,37,14363,459,2671,2,34546,85170,208961,517,46,114,19,28723,60,2,5,1499,1624,29852,8,3230,51135
3,11,22,6,32821,8,33,53,8237,25691,264,36659,18375,13336,77,42046,57813,13,11,7,2331,49916,7705,16,53508,1647,8042,41360,10,31836,119,8898,3,11717,84807,793341,2704,30,98,17,85843,39,17,2,1192,234,144039,4,5852,4997
57,11,5,1,135404,116,7,18,5071,41018,1193,28560,1806,42335,459,17128,9168,14,9,33,2603,6046,3023,21,222731,1830,3719,27931,105,11967,184,15534,9,24872,17797,188204,10925,15,41,16,78336,42,2,11,99,286,44672,2,10903,13376
20,3,4,43,62173,31,2,74,19556,65048,277,8422,3754,111213,342,30162,4464,10,15,30,1781,26267,5378,32,34463,2904,13399,38930,10,60827,694,13174,2,9709,546788,90076,2578,2,117,16,72621,64,1,17,23,792,36111,2,2253,18247
16,26,87,2,21862,74,23,21,947,11098,1837,322414,7720,3510,150,28427,69854,6,3,11,4359,36690,6032,24,108407,532,7365,995391,40,18943,11,12343,14,44992,133635,153012,2100,17,299,12,57979,70,7,1,198,872,81605,3,2528,6952
34,3,39,4,15097,19,4,72,23765,20198,324,19538,4271,18244,250,18603,37734,4,10,21,1471,13702,14708,8,29561,514,13518,78506,31,9076,122,6494,3,121140,85594,129833,1041,13,139,9,46526,41,5,2,207,955,271724,2,2674,11994
32,4,41,18,41965,22,3,33,65763,21702,159,29921,9239,10247,97,8409,10845,18,48,92,549,1051,1307,73,625786,2423,1423,64433,44,25220,63,27093,2,84129,45030,245900,3652,48,123,16,8356,107,8,4,806,168,438866,3,2001,3892
23,2,26,14,110421,15,15,94,9684,17372,146,217635,5870,17694,24,85174,118137,11,3,8,5423,21114,11583,3,78934,2104,29446,143452,9,12074,352,14172,6,30364,27836,46935,6252,17,350,13,8114,106,5,7,230,998,416039,7,676,30434
9,5,59,6,108258,34,21,12,4007,44107,254,31862,2919,86425,221,7575,5980,10,30,31,2570,6742,16471,6,151322,837,5732,123800,114,4341,331,4023,6,23462,183521,78262,3027,23,372,7,17680,51,7,7,24,778,201180,16,2237,8332
32,9,13,1,54736,64,6,16,7361,19494,484,255953,12464,14945,111,7868,22771,54,16,14,1539,13412,24093,5,80496,793,12220,146335,87,2037,31,9443,92,43627,43679,24068,3065,106,23,9,48033,223,3,1,85,4259,579679,10,57,26586
15,3,14,2,16655,19,76,62,6431,3587,877,116635,10586,25703,110,22470,20365,10,9,34,3050,2378,3359,16,576529,1146,5471,7417,54,64782,191,8845,3,121542,31784,53494,2561,114,50,7,34835,170,14,3,38,861,961926,9,647,3818
19,16,18,3,13663,21,17,194,6384,1688,265,765760,8259,6066,61,26066,22207,32,5,7,1308,135489,20511,11,22289,842,12612,71694,30,4686,355,14185,16,78879,60708,32641,2128,36,582,7,18527,52,15,4,124,645,66235,10,9105,23430
6,6,53,5,35420,11,13,241,4978,90512,122,128349,2573,201099,91,7917,5807,55,97,20,719,1051,8608,90,217688,292,32975,108630,84,1372,69,8205,31,143414,36402,33866,1100,43,302,45,14071,53,9,28,165,3109,49973,2,8186,1633
5,4,97,7,10991,30,10,107,5281,9260,229,87748,16113,62720,124,1292,12934,118,35,13,356,12969,26150,20,53823,1031,5385,140872,45,11855,80,10091,4,165629,45648,54782,1438,21,258,7,153811,98,11,3,93,1812,174654,9,398,18823
23,10,23,6,31633,48,13,77,2468,13487,1751,56951,16927,30222,110,8604,3777,37,88,22,680,7123,8389,38,19758,338,20794,107222,61,10977,159,4968,9,13393,113248,197187,3975,5,66,5,81999,63,19,1,275,479,135761,2,767,15159
259,8,2,1,243591,47,16,50,11924,19954,427,76724,2748,12577,259,10932,19069,6,23,19,4236,11388,5053,16,192495,3455,12522,10895,17,43662,693,3615,2,63076,210229,91842,416,30,131,14,43421,44,5,6,355,463,255663,6,505,22403
33,5,78,9,64664,4,15,55,11522,11649,86,83712,70457,32792,11,3578,89988,204,18,2,567,34569,136906,5,7779,561,105122,129672,13,4046,172,32182,3,66408,32066,27133,2595,26,1288,1,17101,78,30,10,132,221,754428,7,2131,1264
79,8,37,3,246653,11,4,92,22967,13970,813,15030,6794,13693,289,28232,15256,22,48,3,3113,14758,14073,7,68699,1970,34453,37500,12,7395,529,32413,3,17065,33257,206263,3413,54,73,7,38175,92,17,15,145,280,34401,10,1200,42806
11,7,26,49,27108,20,2,366,10069,29169,37,38983,14959,1338342,64,4076,2436,49,259,28,104,3929,393565,29,38592,186,9015,171160,379,3740,94,5925,13,31408,29696,283721,510,58,99,52,26805,126,2,3,313,2118,76895,3,679,41897
23,7,13,11,69668,17,7,24,8259,94523,3629,34412,845,80738,391,4527,5632,10,53,9,270,5997,52426,34,143282,66,7036,160597,144,6303,67,6311,12,231017,64483,104262,1043,32,733,24,56038,14,3,22,90,429,50153,8,9849,2080
15,7,12,7,49649,50,8,147,3966,95571,125,115741,1684,27724,54,51624,16033,13,17,50,861,7578,11168,8,79313,989,30141,23921,185,6291,169,6703,21,51329,10198,34427,7061,338,49,3,1702,211,71,21,28,63,53533,57,2177,5460
68,50,11,2,15947,46,76,48,667,6782,2102,657961,7262,1498,27,30607,495165,11,2,15,7359,61366,12229,2,105796,1587,35525,42178,24,2786,328,9817,19,75528,181180,8717,1815,22,271,12,10505,15,4,53,331,582,7273,1,7098,30304
15,3,55,6,36173,5,8,346,14898,35768,50,166899,16904,67776,182,8021,5921,24,89,16,523,5767,4827,73,146475,534,2310,370968,40,4434,157,4804,8,62930,67323,14212,2373,132,688,4,8351,87,23,2,601,82,1109791,8,1988,5297
9,10,33,2,79535,2,50,40,9270,8726,627,27611,2535,66929,185,26660,6364,6,43,116,3284,4040,6464,17,234794,794,9999,68985,20,3230,57,24226,30,37975,19975,111518,6295,27,119,13,55629,42,9,13,241,1280,89246,2,871,24623
72,6,57,7,11643,29,67,52,5988,9652,305,103809,23237,27187,111,7563,12591,23,29,9,1108,11550,7775,106,42963,737,6782,249564,41,8302,163,4969,4,190499,182490,18522,3633,18,593,17,117021,18,10,6,171,929,110786,9,2144,6906
72,2,22,7,87744,9,22,108,6178,3516,98,189110,88537,38073,18,14613,20451,46,6,5,1390,15309,60530,13,19140,836,29390,113561,59,1458,100,78697,7,12784,18598,356964,5863,85,13,6,26396,240,9,2,18,7805,303135,10,440,28407
45,10,28,2,39248,56,23,149,1587,18523,607,87252,12851,37713,146,2970,25892,21,42,6,1821,4058,30448,5,110420,1706,8145,30773,50,31999,155,4356,7,245582,40026,42628,348,81,706,14,9613,55,11,4,115,424,89249,15,584,10469
30,1,21,5,27584,162,4,123,2185,57869,269,74929,4239,39752,124,33990,7672,15,3,17,3458,19575,7363,4,72732,4120,25248,81811,22,7616,101,5828,10,44320,198399,95205,6317,31,46,15,23964,844,5,2,106,1778,702689,9,1435,12317
40,11,38,7,16339,55,4,87,3644,50173,121,86029,6010,70506,184,2592,57322,24,78,2,755,10828,54817,9,9692,828,54354,124846,19,14111,131,2764,6,95229,200396,31065,1006,293,74,4,19074,250,15,2,73,456,179364,10,488,20172
62,38,27,3,20837,39,18,29,4809,7946,1391,164132,5781,9757,76,19954,50378,37,11,6,2265,18729,11145,14,150815,883,23686,264193,100,572,24,9953,9,77550,24807,23833,4407,42,297,7,10807,111,11,15,127,222,392178,6,2454,12757
65,5,10,2,145402,40,41,45,4769,6065,219,328898,14780,12507,32,15577,18055,21,5,26,525,3267,9535,38,93307,462,4564,44710,141,18828,157,2417,3,137085,220519,116260,242,102,147,56,14506,81,4,8,282,243,21651,34,1679,62058
52,12,13,2,16384,26,32,40,9632,7671,372,168340,14458,23685,220,3853,21312,13,129,15,695,7045,13752,14,171161,314,22878,193467,65,666,581,16325,8,8064,11565,237612,8176,135,73,5,50903,61,8,3,143,1445,50565,6,646,23200
117,31,17,1,9155,449,26,18,4524,28414,88,88411,9453,33142,78,5764,28885,23,30,19,2720,8573,20645,28,14259,892,20745,180197,40,3772,91,7409,35,34739,13136,16693,8758,175,22,3,20933,419,8,5,222,217,85136,3,323,19704
207,7,5,4,46415,13,14,26,8124,31149,225,108889,23017,36360,175,762,32761,9,54,23,2248,1472,37322,29,141064,377,13413,20723,97,2978,177,3980,13,80824,80829,59616,2135,37,148,22,21152,77,5,5,296,582,258083,5,1732,10569
55,2,5,4,71475,64,12,14,5715,21616,211,99245,15869,26842,21,5337,25700,57,8,8,545,22705,12347,32,45375,513,6154,122719,262,2159,110,2674,19,122063,24704,24330,2185,37,149,10,5548,89,6,4,54,220,496427,5,2667,15839
5,7,67,5,99573,8,20,180,12216,20653,167,159222,32192,84005,30,1567,40054,176,12,4,815,4278,16357,73,113555,309,3678,54970,114,10305,81,4249,9,178094,65169,19111,990,130,242,1,31326,50,19,2,238,486,280597,6,2157,7488
10,5,128,4,13954,7,44,232,1824,4558,650,274962,11376,8116,62,10753,73077,33,11,4,639,42671,190186,10,3626,330,37034,365676,88,686,448,31627,22,4344,50349,241900,4370,16,51,22,35730,71,3,8,52,1140,109825,5,248,20845
39,4,24,5,29040,146,21,42,5432,24948,313,207182,13056,22770,60,11594,50679,23,9,7,1158,43907,104527,6,4495,1163,126373,55356,7,1545,1260,16929,1,9084,40792,424339,3175,24,116,8,43462,137,8,2,677,342,28530,3,4725,4462
84,14,17,2,21232,39,26,85,4413,13742,94,187622,4742,76169,475,3398,23018,5,24,18,6189,4522,15858,7,29428,1064,10463,47007,144,2669,95,12460,18,18243,42561,64105,6300,33,33,22,16032,498,12,4,153,718,117558,2,1830,18420
25,12,5,11,41383,19,23,28,31674,25669,86,42096,2745,86873,229,4458,7962,21,22,32,1404,6843,10899,8,142578,1113,32407,42260,3,8043,1500,26102,2,9979,110582,1376951,1267,5,118,44,28045,48,11,4,152,839,748254,2,853,14210
29,2,19,2,56589,92,12,3,8851,49104,760,28410,2023,69096,585,8914,18615,10,13,23,16874,2836,4343,54,222752,648,2685,48329,245,25911,165,1648,4,76817,172250,12934,817,62,526,17,4183,32,78,3,556,235,63708,2,4881,5240
67,1,75,2,83330,3,20,35,9469,18187,240,49514,7246,24386,118,11527,44167,15,15,1,1455,27050,20318,2,26059,2035,52443,120663,10,4739,405,11508,7,39627,137861,140317,349,28,609,65,5105,34,3,11,271,588,56504,3,659,23195
79,8,64,1,16020,55,5,82,4726,44971,159,47885,3366,82420,272,21806,16642,11,50,5,1488,13480,32934,32,36838,448,17094,368941,10,6940,179,20170,1,33327,59949,420563,911,12,116,79,84210,50,1,5,738,2658,42017,5,1252,39343
35,23,22,3,17938,204,23,74,6105,32112,81,248568,12960,25466,96,7027,150459,19,2,10,4828,24060,20797,6,12284,3798,23846,190118,15,1653,231,40890,14,20816,15773,116984,5349,40,413,16,19027,43,4,13,364,352,43227,4,4147,21654
9,6,132,2,40572,20,19,165,2186,12630,108,363796,15477,5609,13,7991,70393,17,10,9,4305,17185,6772,15,123365,461,15190,65982,40,812,196,243183,8,10586,7587,191515,32518,313,37,1,10663,1090,11,4,57,907,336511,5,263,16532
39,2,17,3,35282,45,8,27,5633,77800,209,3778,6951,93183,144,14372,3724,26,42,75,203,6655,4680,259,24729,1374,3576,188553,35,12193,290,3639,12,28143,132766,12836,2284,91,127,21,20790,91,2,14,120,1297,31915,5,1281,13599
62,14,10,2,72547,84,6,71,22707,25005,141,29193,17733,42519,194,5935,10025,48,84,3,367,9902,81152,25,54367,1184,14468,115697,18,1163,222,25809,6,20191,43071,31000,11060,24,88,9,45478,39,25,8,52,395,89495,11,1500,8987
45,8,17,2,35685,11,12,173,10682,6073,343,109840,28480,8318,78,3937,66621,17,87,7,2490,3508,37376,14,112141,553,24629,158775,56,1123,250,17067,13,10894,53087,44268,6676,91,128,3,10828,45,46,4,48,567,153792,12,841,3870
151,1,16,1,37165,216,30,13,3549,15877,713,177391,5194,84779,22,35091,17644,133,8,6,2075,7002,21363,10,41123,4063,16089,16641,63,8933,198,3989,6,85663,76197,78908,335,33,832,41,23209,38,10,12,604,299,59436,3,940,85261
20,22,28,3,65250,9,45,52,21333,6559,271,14933,21918,72972,153,6408,17384,7,28,30,1080,35462,8412,14,44930,2801,51781,21637,7,13629,608,30318,1,75127,377478,55854,3945,14,272,11,5416,49,57,15,123,283,41829,9,1790,43082
61,4,17,9,16801,28,13,27,15312,29451,436,45588,7205,17841,419,23390,23833,1,20,27,7552,8313,2921,29,693207,968,1983,33114,69,31881,127,1929,9,66767,485783,14267,564,54,199,44,25145,42,23,7,254,916,336747,10,1403,25729
15,6,65,6,10639,50,7,121,2061,96380,149,92896,6603,60634,246,4373,5319,91,29,4,2445,11889,89553,7,80376,191,16405,86015,209,1770,108,6329,22,53243,14413,75731,8388,131,56,1,29974,195,57,2,27,483,582180,4,807,30080
41,16,29,6,16772,23,15,109,4808,29828,279,50042,17634,26765,88,7017,30566,66,9,9,1310,51201,7496,5,39417,709,20491,28445,120,6239,367,2073,8,26798,179412,187423,1296,47,65,7,214890,89,10,2,485,4493,37861,1,560,44071
51,4,3,30,80992,64,9,39,7201,41817,938,20651,1306,50877,756,18524,2982,3,40,119,2562,2532,5630,41,236289,340,6486,225477,200,18286,46,1260,19,141462,30173,14936,2045,158,398,7,8030,75,17,5,85,228,233557,5,1156,10412
96,4,20,1,60908,13,105,54,13400,5485,1341,130221,10078,7554,70,13001,11109,116,21,26,156,4815,59562,177,19240,613,11692,423348,62,3759,157,6105,5,40268,14726,15590,6312,337,22,4,5138,514,37,3,51,568,113815,9,1648,6761
21,8,127,3,8008,4,19,235,5356,8746,234,162625,6377,51326,74,15108,13128,30,27,15,231,8721,25118,12,18980,378,26925,983273,61,9131,73,9468,20,63038,13900,38067,1937,18,147,28,31175,178,6,6,248,480,48674,6,791,11755
35,20,9,2,18048,11,27,78,21394,12662,32,139800,21571,49233,58,6267,45746,24,6,11,1727,10256,17224,14,134659,1855,4138,45542,35,6078,142,11150,2,193448,123473,9925,2111,125,548,18,14903,14,18,22,96,177,109146,11,806,9620
12,4,7,1,60288,31,16,14,5738,115275,199,14946,5740,60727,112,8264,9752,17,35,9,3543,3230,17147,9,136710,777,24492,37865,101,2835,526,6498,3,26058,110897,167283,1938,13,180,16,8521,21,11,42,47,160,74113,10,6113,13935
36,4,15,3,59177,26,10,41,7497,11379,1122,21012,6939,72176,224,11895,9898,33,19,14,2165,15464,12265,16,122862,264,10923,59656,111,2060,256,8379,7,32855,36453,91872,5398,22,97,6,7603,194,28,8,133,259,231980,7,1863,3358
35,3,46,4,38626,10,54,96,9616,34710,302,18199,13048,131254,193,7293,4404,15,43,34,7725,4674,4239,4,197882,1549,27235,34728,25,2402,149,19314,13,25541,21593,63584,4215,74,189,14,6958,27,14,21,49,218,164191,11,2111,12627
109,10,8,4,30276,21,26,20,27945,17409,1252,11478,5018,57619,184,4850,76763,7,12,42,6760,16152,4305,7,90321,2418,7048,25586,58,25884,624,3996,3,11766,61605,366215,8302,30,82,14,21771,119,12,3,146,741,140491,4,1171,9023
18,6,9,10,93987,38,2,14,39035,158085,315,12374,1162,82433,343,7520,23490,29,13,7,1769,16200,21188,33,105786,159,22134,194684,23,4895,151,3418,2,106230,82038,34731,3027,23,93,15,96461,85,6,12,73,262,61062,7,1924,8010
44,4,40,4,12633,11,12,30,9336,24858,165,67235,7635,104784,131,11967,22999,10,35,31,1501,9952,7983,7,42890,4893,81659,42595,8,1309,1230,7365,9,17208,154001,169320,973,7,146,19,167024,88,2,6,59,791,260653,7,3476,1710
28,7,2,11,190237,29,7,18,25022,31970,253,34372,2506,17850,181,32394,5854,7,21,75,2134,10694,4043,14,270018,2056,33529,22064,14,3153,2375,10914,4,5315,207260,450946,7519,22,28,12,43083,104,15,10,135,344,39641,4,7704,2926
31,8,6,3,184820,103,2,29,8250,63877,114,81613,1740,196996,17,8129,24749,81,5,24,3268,6822,18887,35,39516,87,7010,591027,79,2355,43,71603,21,51017,3679,94456,1429,548,83,4,35287,313,7,6,126,1363,708849,2,216,46511
118,6,14,2,53478,29,16,36,3225,15136,830,401096,4802,8200,35,16382,32520,17,14,19,1436,39212,3215,8,45812,604,2724,228779,77,19864,88,3469,10,53161,35982,65494,2764,123,177,7,19669,43,5,8,159,504,427654,2,1146,22327
24,5,4,41,143895,16,1,59,22032,23539,816,22964,1648,82366,146,1796,9495,126,64,4,2263,23017,31907,9,66599,892,8784,80123,61,12264,440,6054,16,13553,40145,66561,8755,83,171,19,13407,86,7,6,125,2010,54795,6,430,33780
239,2,6,6,50112,85,5,16,24636,24244,1181,29500,11570,10965,106,13298,18461,36,11,5,8969,26552,20091,6,85481,282,8974,44473,71,2620,147,6478,4,66107,74139,23655,2421,92,823,13,7781,116,15,29,57,1808,91044,1,5677,5568
77,9,10,2,68684,33,26,72,3217,10735,244,334680,3477,16124,256,24877,9589,30,27,29,283,57723,56354,6,10571,820,34727,353750,28,13448,24,18471,20,78394,29295,30629,437,42,182,17,25387,36,3,19,470,695,32606,8,1625,31215
14,54565,1775,4,3,3,25453,99,515,3192,868,99,3906,6768,13,7,20,60,65,8381,159,1096,564,20,513,78,137,7,9478,101,296044,3229,52386,15714,131097,40867,101,35992,28,53854,273,157,63255,5,181,15,2802,270,1532,1069
20,63244,3582,5,22,5,51253,385,1350,358,165,20,1678,80437,13,9,19,107,19,10575,500,3069,1304,610,45,276,25,5,182523,39,353547,3164,166282,90426,53517,129530,79,10686,9,375839,61,84,24198,4,54,11,292,121,4805,260
61,41063,4705,6,43,2,19496,135,622,167,482,11,2741,56752,9,2,18,252,19,5019,287,7929,267,131,286,47,31,23,29108,40,639137,1708,21085,80648,324297,109098,40,7873,100,176748,356,54,13703,4,18,15,1636,198,1903,1772
12,26269,3247,9,5,19,17626,198,262,466,1322,49,452,6588,25,11,42,92,95,1506,26,5794,225,165,141,60,34,13,33279,74,332663,821,8701,27254,52492,253291,46,11880,24,98413,66,1858,14302,6,103,40,4094,742,2311,594
57,32871,8655,11,68,4,6446,330,1958,17,4845,20,2492,42426,7,5,7,313,23,2342,239,3306,877,40,427,19,29,10,113556,79,79862,12736,210694,11072,110026,825375,87,21729,7,7963,113,156,40783,1,46,7,648,36,1201,1566
37,43437,1823,3,6,3,121808,56,672,174,473,4,775,19062,3,25,82,367,20,7164,125,19392,373,397,85,98,53,2,17712,9,97576,2956,93126,195045,178522,109872,14,18985,31,513306,141,173,26869,11,31,2,731,230,4676,539
8,88467,1668,2,14,9,65630,192,338,257,283,20,3913,127302,51,6,68,425,15,4451,250,30360,1540,78,88,75,31,25,6550,7,60738,21532,406122,71564,33281,40575,44,9936,52,54526,99,35,52543,7,457,16,643,170,1795,1568
85,35488,2283,7,12,3,15319,168,929,226,3408,21,1384,22283,3,11,23,272,14,4961,45,8503,155,90,242,188,53,124,116486,76,181636,5695,128076,21856,226303,638490,24,5679,13,140224,150,243,42155,3,35,8,843,180,732,908
69,18297,3341,1,5,5,114623,60,147,457,485,4,1618,13940,10,33,11,109,11,6748,310,29455,791,119,341,364,73,55,17553,86,166306,2587,125327,30172,448072,123888,36,1708,76,54180,240,16,337109,8,104,2,257,1559,453,229
13,56192,1091,1,28,6,110482,117,474,148,154,8,1573,16095,18,15,39,682,12,7108,1033,25804,378,307,186,76,33,27,11965,30,50562,11456,318245,179147,27701,82892,152,5435,56,69154,124,11,49243,4,206,2,417,253,313,649
54,15270,2451,1,6,2,217762,227,577,174,375,13,357,58407,7,2,47,117,66,1974,278,11780,1689,84,16,259,260,88,55062,23,30345,3504,36408,529162,52648,162868,81,5527,11,94463,127,56,48648,5,51,1,475,455,4217,6329
32,116027,1420,2,18,1,52415,340,3799,84,767,307,2552,23855,11,3,6,388,27,10232,241,17488,812,99,245,119,13,26,176478,167,77664,6668,171219,24594,84844,64531,58,10886,27,47406,190,49,136708,3,42,8,243,155,573,938
24,34088,30818,2,3,1,103099,56,453,87,406,28,1460,6241,50,7,52,1109,49,40190,190,60284,24,140,887,78,26,8,31072,227,661174,1602,26959,58728,21562,10874,47,30224,72,716056,230,82,5715,3,120,12,1428,504,6891,561
152,26412,26017,8,26,8,46764,369,476,39,760,87,691,12974,12,21,21,29,74,3120,140,19862,3617,218,171,77,30,2,27643,79,219237,11460,152270,17815,40136,456801,21,14690,15,9805,154,15,262459,3,14,5,338,753,684,1465
138,79063,5753,2,17,5,81275,59,196,89,158,14,1092,9607,16,17,44,98,15,4775,74,33782,732,488,191,274,83,25,45184,90,38807,10668,401859,315904,82355,74446,114,2957,73,48716,95,32,21668,3,194,14,1142,971,965,332
32,30982,10650,7,10,5,171107,24,298,189,519,8,431,19654,173,14,80,675,3,7394,120,11106,687,268,128,57,41,12,13239,78,50615,12237,40062,48003,148748,21579,240,16021,39,50270,704,21,21366,1,67,2,3043,249,1751,788
10,19669,9340,4,3,5,47912,122,797,410,555,10,723,111226,12,6,11,235,20,4726,570,11192,236,251,106,76,160,15,38728,27,65359,15511,22296,28429,85159,83375,113,6887,55,50529,194,458,16288,23,69,18,409,480,832,322
678,82426,904,11,30,6,35702,68,164,92,9344,25,481,4366,3,46,167,130,95,1329,14,36301,176,219,308,8,316,9,30823,72,98787,1577,350994,36880,99637,90744,113,1993,70,50090,13,150,36834,1,46,5,6021,1215,2476,1023
35,62212,3020,9,18,10,118740,234,715,146,1676,18,1466,43131,41,7,96,609,104,4111,235,18977,276,201,53,29,2,8,33384,3,361805,20679,155360,136480,27657,63291,10,26953,15,149938,225,64,10090,1,17,2,3893,116,3062,1812
47,47107,11523,5,6,7,87145,59,160,386,685,9,825,30760,15,4,30,1149,34,12456,496,15902,623,127,83,66,54,9,18955,12,49405,13848,291154,175376,138361,78365,41,31838,32,143674,1410,14,117003,1,50,1,736,142,920,1017
22,50724,9247,1,21,3,111630,359,2738,159,49,8,591,534132,43,3,12,623,17,3501,1923,13527,943,88,11,45,33,28,8021,23,106789,19860,175283,667959,47000,51587,56,15067,101,64282,800,19,31400,72,20,2,125,184,1310,739
61,7773,848,1,9,6,4890,75,326,292,4830,262,2925,10721,34,6,7,541,7,18185,51,3396,194,175,549,917,57,35,8634,771,117175,1356,100938,23679,121629,183735,191,28340,39,34135,922,156,26770,1,92,24,2622,698,1889,655
