,Function
TIGR02729,Obg family GTPase CgtA
TIGR03412,FeS assembly protein IscX
TIGR00508,adenosylmethionine-8-amino-7-oxononanoate transaminase
TIGR00566,glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase
TIGR00976,hydrolase CocE/NonD family protein
TIGR00374,TIGR00374 family protein
TIGR03708,polyphosphate:AMP phosphotransferase
TIGR00246,rRNA large subunit m3Psi methyltransferase RlmH
TIGR01099,UTP--glucose-1-phosphate uridylyltransferase
TIGR02212,"lipoprotein releasing system, transmembrane protein, LolC/E family"
TIGR03939,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA"
TIGR02395,RNA polymerase sigma-54 factor
TIGR01211,"radical SAM enzyme/protein acetyltransferase, ELP3 family"
TIGR01697,inosine/guanosine/xanthosine phosphorylase family
TIGR04117,Cys-Xaa-Xaa-Xaa repeat radical SAM target protein
TIGR02140,"sulfate ABC transporter, permease protein CysW"
TIGR03801,aspartate 4-decarboxylase
TIGR01019,"succinate-CoA ligase, alpha subunit"
TIGR03977,His-Xaa-Ser system radical SAM maturase HxsC
TIGR02385,"addiction module toxin, RelE/StbE family"
TIGR01885,ornithine--oxo-acid transaminase
TIGR04377,"3,5/4-trihydroxycyclohexa-1,2-dione hydrolase"
TIGR00682,tetraacyldisaccharide 4'-kinase
TIGR00148,"decarboxylase, UbiD family"
TIGR04456,LruC domain
TIGR03918,[FeFe] hydrogenase H-cluster maturation GTPase HydF
TIGR00813,"transporter, solute:sodium symporter (SSS) family"
TIGR02967,guanine deaminase
TIGR00670,aspartate carbamoyltransferase
TIGR02013,"DNA-directed RNA polymerase, beta subunit"
TIGR03619,"probable F420-dependent oxidoreductase, Rv2161c family"
TIGR01475,putative 4-hydroxybenzoate polyprenyltransferase
TIGR04145,Firmicu-CTERM domain
TIGR00563,16S rRNA (cytosine(967)-C(5))-methyltransferase
TIGR01168,"gram-positive signal peptide, YSIRK family"
TIGR04394,choline trimethylamine-lyase
TIGR02083,"3-isopropylmalate dehydratase, large subunit"
TIGR01369,"carbamoyl-phosphate synthase, large subunit"
TIGR01932,HflC protein
TIGR00149,secondary thiamine-phosphate synthase enzyme
TIGR03717,"integral membrane protein, YjbE family"
TIGR03441,urea transporter
TIGR00747,3-oxoacyl-[acyl-carrier-protein] synthase III
TIGR03605,SagB-type dehydrogenase domain
TIGR01939,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, D subunit"
TIGR01698,purine nucleotide phosphorylase
TIGR01581,NifC-like ABC-type porter
TIGR00768,"alpha-L-glutamate ligase, RimK family"
TIGR02532,prepilin-type N-terminal cleavage/methylation domain
TIGR02727,"5,10-methenyltetrahydrofolate synthetase"
TIGR01392,homoserine O-acetyltransferase
TIGR00718,"L-serine dehydratase, iron-sulfur-dependent, alpha subunit"
TIGR00691,RelA/SpoT family protein
TIGR01340,"aconitate hydratase, mitochondrial"
TIGR04085,radical SAM additional 4Fe4S-binding SPASM domain
TIGR03345,"type VI secretion ATPase, ClpV1 family"
TIGR00640,methylmalonyl-CoA mutase C-terminal domain
TIGR02493,pyruvate formate-lyase 1-activating enzyme
TIGR03910,pyrrolysine biosynthesis radical SAM protein
TIGR01245,anthranilate phosphoribosyltransferase
TIGR02962,hydroxyisourate hydrolase
TIGR00181,oligoendopeptidase F
TIGR04370,oligosaccharide repeat unit polymerase
TIGR01942,poly(A) polymerase
TIGR03852,sucrose phosphorylase
TIGR03937,"poly-beta-1,6 N-acetyl-D-glucosamine synthase"
TIGR00147,"lipid kinase, YegS/Rv2252/BmrU family"
TIGR01869,"CRISPR-associated protein Cas7/Cse4/CasC, subtype I-E/ECOLI"
TIGR02191,ribonuclease III
TIGR04409,LPS export ABC transporter periplasmic protein LptC
TIGR02494,glycyl-radical enzyme activating protein
TIGR00316,"CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit"
TIGR00231,small GTP-binding protein domain
TIGR01190,heme exporter protein CcmB
TIGR00266,TIGR00266 family protein
TIGR03632,ribosomal protein uS11
TIGR01958,"NADH-quinone oxidoreductase, E subunit"
TIGR01228,urocanate hydratase
TIGR02084,"3-isopropylmalate dehydratase, small subunit"
TIGR00183,"isocitrate dehydrogenase, NADP-dependent"
TIGR02856,sporulation protein YqfC
TIGR02987,"type II restriction m6 adenine DNA methyltransferase, Alw26I/Eco31I/Esp3I family"
TIGR00292,thiazole biosynthesis enzyme
TIGR01662,"HAD hydrolase, family IIIA"
TIGR01246,succinyl-diaminopimelate desuccinylase
TIGR03764,"integrating conjugative element, PFGI_1 class, ParB family protein"
TIGR00695,mannonate dehydratase
TIGR00212,hydroxymethylbilane synthase
TIGR00685,trehalose-phosphatase
TIGR00399,"methionine--tRNA ligase, beta subunit"
TIGR03125,triphosphoribosyl-dephospho-CoA synthase CitG
TIGR01963,3-hydroxybutyrate dehydrogenase
TIGR00056,ABC transport permease subunit
TIGR00050,"RNA methyltransferase, TrmH family, group 1"
TIGR02324,phosphonate C-P lyase system protein PhnL
TIGR00987,"integration host factor, alpha subunit"
TIGR02098,MJ0042 family finger-like domain
TIGR00613,DNA repair protein RecO
TIGR01693,protein-P-II uridylyltransferase
TIGR00664,"DNA polymerase III, psi subunit"
TIGR04470,radical SAM mobile pair protein B
TIGR02481,hemerythrin-like metal-binding domain
TIGR01667,"integral membrane protein, YccS/YhfK family"
TIGR00099,Cof-like hydrolase
TIGR04546,"12,18-didecarboxysiroheme deacetylase"
TIGR00900,H+ Antiporter protein
TIGR03359,"type VI secretion protein, TIGR03359 family"
TIGR04380,inositol 2-dehydrogenase
TIGR01550,death-on-curing family protein
TIGR01555,"phage-associated protein, HI1409 family"
TIGR02039,"sulfate adenylyltransferase, small subunit"
TIGR01898,CRISPR type III-B/RAMP module RAMP protein Cmr6
TIGR04440,glycosyltransferase domain
TIGR01011,ribosomal protein uS2
TIGR01441,GPR endopeptidase
TIGR00275,"flavoprotein, HI0933 family"
TIGR00905,"transporter, basic amino acid/polyamine antiporter (APA) family"
TIGR00334,ribonuclease M5
TIGR02072,malonyl-acyl carrier protein O-methyltransferase BioC
TIGR00208,flagellar protein FliS
TIGR03847,conserved hypothetical protein
TIGR02467,"precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit"
TIGR04074,3' terminal RNA ribose 2'-O-methyltransferase Hen1
TIGR03357,type VI secretion system lysozyme-like protein
TIGR03986,CRISPR-associated protein
TIGR03980,hybrid cluster protein-associated redox disulfide domain
TIGR00726,YfiH family protein
TIGR00232,transketolase
TIGR03365,7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE
TIGR01061,"DNA topoisomerase IV, A subunit"
TIGR02836,stage IV sporulation protein A
TIGR03703,glycerol-3-phosphate O-acyltransferase
TIGR00136,tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
TIGR01164,ribosomal protein uL16
TIGR02134,transaldolase
TIGR03706,exopolyphosphatase
TIGR03813,putative glutamate/gamma-aminobutyrate antiporter
TIGR02093,glycogen/starch/alpha-glucan phosphorylases
TIGR01503,"methylaspartate mutase, E subunit"
TIGR04057,"TonB-dependent outer membrane receptor, SusC/RagA subfamily, signature region"
TIGR03344,"type VI secretion system effector, Hcp1 family"
TIGR01121,D-amino-acid transaminase
TIGR01947,"electron transport complex, RnfABCDGE type, G subunit"
TIGR00659,TIGR00659 family protein
TIGR01357,3-dehydroquinate synthase
TIGR00427,"membrane protein, MarC family"
TIGR00417,spermidine synthase
TIGR04224,serine-rich repeat adhesion glycoprotein
TIGR02910,"sulfite reductase, subunit A"
TIGR03447,cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
TIGR01460,"HAD hydrolase, family IIA"
TIGR01450,"exodeoxyribonuclease V, gamma subunit"
TIGR00885,L-fucose:H+ symporter permease
TIGR03410,"urea ABC transporter, ATP-binding protein UrtE"
TIGR01413,Dyp-type peroxidase family
TIGR04169,alkylhydroperoxidase/carboxymuconolactone decarboxylase family protein
TIGR01636,"phage transcriptional regulator, RinA family"
TIGR04390,"outer membrane protein, YaiO family"
TIGR01027,glutamate 5-kinase
TIGR04172,DNA phosphorothioation-associated DGQHR protein 1
TIGR00816,C4-dicarboxylate transporter/malic acid transport protein
TIGR00874,transaldolase
TIGR01445,intein N-terminal splicing region
TIGR03304,outer membrane insertion C-terminal signal
TIGR02919,accessory Sec system glycosyltransferase GtfB
TIGR00753,undecaprenyl-diphosphatase UppP
TIGR01934,ubiquinone/menaquinone biosynthesis methyltransferase
TIGR02104,"pullulanase, type I"
TIGR02862,pro-sigmaK processing inhibitor BofA
TIGR00500,"methionine aminopeptidase, type I"
TIGR02473,flagellar export protein FliJ
TIGR03731,"lantibiotic, gallidermin/nisin family"
TIGR03513,gliding motility-associated protein GldL
TIGR00057,"tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family"
TIGR01031,ribosomal protein bL32
TIGR01464,uroporphyrinogen decarboxylase
TIGR02376,"nitrite reductase, copper-containing"
TIGR01136,cysteine synthase
TIGR00202,carbon storage regulator
TIGR03062,YhgE/Pip C-terminal domain
TIGR03330,S-adenosylmethionine decarboxylase proenzyme
TIGR04520,energy-coupling factor transporter ATPase
TIGR01620,TIGR01620 family protein
TIGR03700,"putative menaquinone biosynthesis radical SAM enzyme, SCO4494 family"
TIGR02403,"alpha,alpha-phosphotrehalase"
TIGR03082,membrane protein AbrB duplication
TIGR02687,TIGR02687 family protein
TIGR00549,mevalonate kinase
TIGR00883,"MFS transporter, metabolite:H+ symporter (MHS) family protein"
TIGR03432,"putative dehydratase, YjhG/YagF family"
TIGR00171,"3-isopropylmalate dehydratase, small subunit"
TIGR02819,"formaldehyde dehydrogenase, glutathione-independent"
TIGR00754,bacterioferritin
TIGR03128,3-hexulose-6-phosphate synthase
TIGR01124,"threonine ammonia-lyase, biosynthetic"
TIGR01617,"transcriptional regulator, Spx/MgsR family"
TIGR02331,Rib/alpha/Esp surface antigen repeat
TIGR02692,CCA tRNA nucleotidyltransferase
TIGR01619,TIGR01619 family protein
TIGR01686,FkbH domain
TIGR03765,"integrating conjugative element protein, PFL_4695 family"
TIGR02370,"methyltransferase cognate corrinoid proteins, Methanosarcina family"
TIGR01426,"glycosyltransferase, MGT family"
TIGR00542,putative hexulose-6-phosphate isomerase
TIGR01923,O-succinylbenzoate-CoA ligase
TIGR00042,"non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family"
TIGR03408,"urea ABC transporter, permease protein UrtC"
TIGR00138,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
TIGR01714,"phage replisome organizer, putative, N-terminal region"
TIGR03740,"lantibiotic protection ABC transporter, ATP-binding subunit"
TIGR00655,formyltetrahydrofolate deformylase
TIGR03061,YhgE/Pip N-terminal domain
TIGR00872,6-phosphogluconate dehydrogenase (decarboxylating)
TIGR00952,ribosomal protein uS15
TIGR00114,"6,7-dimethyl-8-ribityllumazine synthase"
TIGR02706,phosphate butyryltransferase
TIGR03588,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase"
TIGR01971,"NADH-quinone oxidoreductase, chain I"
TIGR03978,His-Xaa-Ser system radical SAM maturase HxsB
TIGR00656,"aspartate kinase, monofunctional class"
TIGR00243,1-deoxy-D-xylulose 5-phosphate reductoisomerase
TIGR00172,septum formation protein Maf
TIGR02684,probable addiction module antidote protein
TIGR00115,"trigger factor ribosome-associated chaperone"
TIGR01039,"ATP synthase F1, beta subunit"
TIGR02007,"ferredoxin, 2Fe-2S type, ISC system"
TIGR01797,chorismate mutase
TIGR01690,"integrative conjugative element protein, RAQPRD family"
TIGR02087,"3-isopropylmalate dehydratase, small subunit"
TIGR01665,"phage minor structural protein, N-terminal region"
TIGR00034,3-deoxy-7-phosphoheptulonate synthase
TIGR02197,ADP-glyceromanno-heptose 6-epimerase
TIGR04416,group II intron reverse transcriptase/maturase
TIGR04483,"D-proline reductase (dithiol), PrdB protein"
TIGR02032,geranylgeranyl reductase family
TIGR01528,nicotinamide mononucleotide transporter PnuC
TIGR00858,8-amino-7-oxononanoate synthase
TIGR00357,methionine-R-sulfoxide reductase
TIGR03284,thymidylate synthase
TIGR00915,"RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family"
TIGR02200,glutaredoxin-like protein
TIGR00884,"GMP synthase (glutamine-hydrolyzing), C-terminal domain"
TIGR00065,cell division protein FtsZ
TIGR00369,uncharacterized domain 1
TIGR02375,pseudoazurin
TIGR03012,sulfur relay protein TusD/DsrE
TIGR04381,TyrR family helix-turn-helix domain
TIGR01059,"DNA gyrase, B subunit"
TIGR00740,tRNA (cmo5U34)-methyltransferase
TIGR01976,cysteine desulfurase family protein
TIGR01991,Fe-S protein assembly chaperone HscA
TIGR01930,acetyl-CoA C-acyltransferase
TIGR00091,tRNA (guanine-N(7)-)-methyltransferase
TIGR03743,"conjugative coupling factor TraD, SXT/TOL subfamily"
TIGR00222,3-methyl-2-oxobutanoate hydroxymethyltransferase
TIGR01805,chorismate mutase
TIGR00045,glycerate kinase
TIGR02182,"glutaredoxin, GrxB family"
TIGR02378,"nitrite reductase [NAD(P)H], small subunit"
TIGR00082,ribosome-binding factor A
TIGR01240,diphosphomevalonate decarboxylase
TIGR02205,cell division protein ZipA
TIGR01526,nicotinamide-nucleotide adenylyltransferase
TIGR00452,tRNA (mo5U34)-methyltransferase
TIGR00482,nicotinate (nicotinamide) nucleotide adenylyltransferase
TIGR00580,transcription-repair coupling factor
TIGR03853,putative metal-binding protein
TIGR03640,"CRISPR-associated endonuclease Cas1, subtype I-C/DVULG"
TIGR00652,diaminopimelate epimerase
TIGR01007,capsular exopolysaccharide proteins
TIGR02954,"RNA polymerase sigma-70 factor, TIGR02954 family"
TIGR04301,ornithine decarboxylase SpeF
TIGR00878,phosphoribosylformylglycinamidine cyclo-ligase
TIGR03143,putative alkyl hydroperoxide reductase F subunit
TIGR01453,group I intron endonuclease
TIGR00709,"2,4-diaminobutyrate 4-transaminase"
TIGR03747,"integrating conjugative element membrane protein, PFL_4697 family"
TIGR03298,"transcriptional regulator, ArgP family"
TIGR04207,surface glycoprotein signal peptide
TIGR01430,adenosine deaminase
TIGR00742,tRNA dihydrouridine synthase A
TIGR01026,"ATPase, FliI/YscN family"
TIGR01633,"putative phage tail component, N-terminal domain"
TIGR01846,type I secretion system ATPase
TIGR01748,L-rhamnose isomerase
TIGR01579,MiaB-like tRNA modifying enzyme
TIGR00059,ribosomal protein bL17
TIGR01259,comEA protein
TIGR03156,GTP-binding protein HflX
TIGR01276,"thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein"
TIGR02299,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
TIGR01178,adenine deaminase
TIGR03175,ureidoglycolate dehydrogenase
TIGR01941,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit"
TIGR03659,"heme ABC transporter, heme-binding protein isdE"
TIGR00419,triose-phosphate isomerase
TIGR03800,"pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2"
TIGR04258,four helix bundle suffix domain
TIGR01355,cytidine deaminase
TIGR01006,"polysaccharide export protein, MPA1 family"
TIGR00556,phosphopantetheine--protein transferase domain
TIGR00624,DNA-3-methyladenine glycosylase I
TIGR02391,TIGR02391 family protein
TIGR01418,phosphoenolpyruvate synthase
TIGR02680,TIGR02680 family protein
TIGR00525,dihydroneopterin aldolase
TIGR00576,dUTP diphosphatase
TIGR03755,"integrating conjugative element protein, PFL_4711 family"
TIGR00244,transcriptional regulator NrdR
TIGR03729,putative phosphoesterase
TIGR02286,phenylacetic acid degradation protein PaaD
TIGR03183,putative sulfurtransferase DndC
TIGR02865,stage II sporulation protein E
TIGR02518,acetaldehyde dehydrogenase (acetylating)
TIGR01795,chorismate mutase
TIGR01334,modD protein
TIGR04471,radical SAM mobile pair protein A
TIGR00616,"recombinase, phage RecT family"
TIGR00200,competence/damage-inducible protein CinA N-terminal domain
TIGR03938,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB"
TIGR00365,"monothiol glutaredoxin, Grx4 family"
TIGR01767,S-methyl-5-thioribose kinase
TIGR01165,cobalt transport protein
TIGR03915,probable DNA metabolism protein
TIGR03569,N-acetylneuraminate synthase
TIGR00242,division/cell wall cluster transcriptional repressor MraZ
TIGR01502,methylaspartate ammonia-lyase
TIGR00778,alkylhydroperoxidase AhpD family core domain
TIGR00332,desulfoferrodoxin ferrous iron-binding domain
TIGR00666,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
TIGR01225,histidine ammonia-lyase
TIGR00904,"cell shape determining protein, MreB/Mrl family"
TIGR01410,twin arginine-targeting protein translocase TatB
TIGR00707,"transaminase, acetylornithine/succinylornithine family"
TIGR01654,bacteriocin-associated integral membrane protein
TIGR03148,"cytochrome c nitrite reductase, NrfD subunit"
TIGR04299,putrescine-ornithine antiporter
TIGR00687,pyridoxal kinase
TIGR00407,glutamate-5-semialdehyde dehydrogenase
TIGR00962,"ATP synthase F1, alpha subunit"
TIGR00936,adenosylhomocysteinase
TIGR00564,anthranilate synthase component I
TIGR04075,polynucleotide kinase-phosphatase
TIGR00239,"oxoglutarate dehydrogenase (succinyl-transferring), E1 component"
TIGR03780,Bacteroides conjugative transposon TraN protein
TIGR01595,"CRISPR-associated protein, CT1132 family"
TIGR00306,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent), archaeal form"
TIGR03595,"Obg family GTPase CgtA, C-terminal extension"
TIGR00700,4-aminobutyrate transaminase
TIGR00156,TIGR00156 family protein
TIGR01216,"ATP synthase F1, epsilon subunit"
TIGR03168,"hexose kinase, 1-phosphofructokinase family"
TIGR01744,xanthine phosphoribosyltransferase
TIGR00170,"3-isopropylmalate dehydratase, large subunit"
TIGR00274,N-acetylmuramic acid 6-phosphate etherase
TIGR02918,accessory Sec system glycosylation protein GtfA
TIGR03299,phage/plasmid-like protein TIGR03299
TIGR02150,isopentenyl-diphosphate delta-isomerase
TIGR01700,"purine nucleoside phosphorylase I, inosine and guanosine-specific"
TIGR01255,formate acetyltransferase
TIGR00665,replicative DNA helicase
TIGR00409,proline--tRNA ligase
TIGR00836,ammonium transporter
TIGR01189,"heme ABC exporter, ATP-binding protein CcmA"
TIGR04180,"NAD dependent epimerase/dehydratase, LLPSF_EDH_00030 family"
TIGR00832,arsenical-resistance protein
TIGR01760,"phage tail tape measure protein, TP901 family, core region"
TIGR00132,"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit"
TIGR02024,glutamate formiminotransferase
TIGR00520,"L-asparaginase, type II"
TIGR03954,integral membrane protein
TIGR00247,"conserved hypothetical protein, YceG family"
TIGR00087,5'/3'-nucleotidase SurE
TIGR00824,"PTS system, mannose/fructose/sorbose family, IIA component"
TIGR03749,"integrating conjugative element protein, PFL_4704 family"
TIGR00654,"phenazine biosynthesis protein, PhzF family"
TIGR03585,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase"
TIGR04038,"radical SAM protein, TatD family-associated"
TIGR02179,"2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family"
TIGR01461,transcription elongation factor GreB
TIGR01317,"glutamate synthase, NADH/NADPH, small subunit"
TIGR00739,"preprotein translocase, YajC subunit"
TIGR02326,2-aminoethylphosphonate--pyruvate transaminase
TIGR02838,stage V sporulation protein AC
TIGR00838,argininosuccinate lyase
TIGR02785,"helicase-exonuclease AddAB, AddA subunit"
TIGR00931,Na+/H+ antiporter NhaC
TIGR04549,substrate import-associated zinc metallohydrolase lipoprotein
TIGR01816,"succinate dehydrogenase, flavoprotein subunit"
TIGR02355,molybdopterin synthase sulfurylase MoeB
TIGR02998,regulator of ribonuclease activity A
TIGR00253,"putative RNA-binding protein, YhbY family"
TIGR01962,"NADH dehydrogenase (quinone), D subunit"
TIGR01118,"galactose-6-phosphate isomerase, LacA subunit"
TIGR02162,trimethylamine-N-oxide reductase c-type cytochrome TorC
TIGR00449,tRNA-guanine family transglycosylase
TIGR02832,sporulation protein YunB
TIGR01808,chorismate mutase
TIGR02432,tRNA(Ile)-lysidine synthetase
TIGR00823,"PTS system, lactose-specific IIa component"
TIGR01188,"daunorubicin resistance ABC transporter, ATP-binding protein"
TIGR00184,adenylosuccinate synthase
TIGR00712,glycerol-3-phosphate transporter
TIGR02242,phage tail protein domain
TIGR00127,"isocitrate dehydrogenase, NADP-dependent"
TIGR02254,"noncanonical pyrimidine nucleotidase, YjjG family"
TIGR04491,diol dehydratase reactivase alpha subunit
TIGR03085,TIGR03085 family protein
TIGR01783,TonB-dependent siderophore receptor
TIGR03317,folate-binding protein YgfZ
TIGR00343,"pyridoxal 5'-phosphate synthase, synthase subunit Pdx1"
TIGR03712,accessory Sec system protein Asp2
TIGR01420,twitching motility protein
TIGR00645,TIGR00645 family protein
TIGR03146,"cytochrome c nitrite reductase, pentaheme subunit"
TIGR04430,outer membrane lipid asymmetry maintenance protein MlaD
TIGR03596,ribosome biogenesis GTP-binding protein YlqF
TIGR00506,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
TIGR04091,D-alanyl-lipoteichoic acid biosynthesis protein DltB
TIGR04502,microcompartment protein EutL
TIGR00379,"cobyrinic acid a,c-diamide synthase"
TIGR02354,thiamine biosynthesis protein ThiF
TIGR02158,"phenylacetate-CoA oxygenase, PaaI subunit"
TIGR00914,"heavy metal efflux pump, CzcA family"
TIGR00743,conserved hypothetical protein
TIGR04066,"peptide maturation system protein, TIGR04066 family"
TIGR02295,"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
TIGR00594,"DNA polymerase III, alpha subunit"
TIGR00553,"aminodeoxychorismate synthase, component I"
TIGR02418,"acetolactate synthase, catabolic"
TIGR02276,40-residue YVTN family beta-propeller repeat
TIGR01759,malate dehydrogenase
TIGR01845,"efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family"
TIGR02899,spore coat assembly protein SafA
TIGR04225,CshA-type fibril repeat
TIGR03120,methenyltetrahydromethanopterin cyclohydrolase
TIGR03604,"thiazole/oxazole-forming peptide maturase, SagD family component"
TIGR00771,"transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family"
TIGR01173,UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03353,"type VI secretion protein, VC_A0114 family"
TIGR02053,mercury(II) reductase
TIGR02804,TonB system transport protein ExbD
TIGR02490,flagellar basal-body rod protein FlgF
TIGR00830,"PTS system, glucose subfamily, IIA component"
TIGR01533,"5'-nucleotidase, lipoprotein e(P4) family"
TIGR04012,poly-gamma-glutamate synthase PgsB
TIGR01104,V-type H(+)-translocating pyrophosphatase
TIGR03558,"luciferase family oxidoreductase, group 1"
TIGR02875,sporulation transcription factor Spo0A
TIGR02258,2'-5' RNA ligase
TIGR04002,TIGR04002 family protein
TIGR01166,"cobalt ABC transporter, ATP-binding protein"
TIGR02884,delta-lactam-biosynthetic de-N-acetylase
TIGR03593,"membrane protein insertase, YidC/Oxa1 family, N-terminal domain"
TIGR02166,"anaerobic dimethyl sulfoxide reductase, A subunit, DmsA/YnfE family"
TIGR00509,molybdopterin guanine dinucleotide-containing S/N-oxide reductases
TIGR00971,"sulfate ABC transporter, sulfate-binding protein"
TIGR00092,GTP-binding protein YchF
TIGR02149,"glycogen synthase, Corynebacterium family"
TIGR01181,"dTDP-glucose 4,6-dehydratase"
TIGR01003,"phosphocarrier, HPr family"
TIGR00309,"V-type ATPase, D subunit"
TIGR03976,His-Xaa-Ser system protein HxsD
TIGR03782,Bacteroides conjugative transposon TraJ protein
TIGR03624,putative hydrolase
TIGR04203,"Streptococcal surface-anchored protein repeat, S. criceti family"
TIGR01929,naphthoate synthase
TIGR00194,excinuclease ABC subunit C
TIGR03718,"integral membrane protein, TerC family"
TIGR00434,phosophoadenylyl-sulfate reductase
TIGR00710,"drug resistance transporter, Bcr/CflA subfamily"
TIGR02062,exoribonuclease II
TIGR01272,glucose/galactose transporter WARNING
TIGR02837,stage II sporulation protein R
TIGR00988,"integration host factor, beta subunit"
TIGR02349,chaperone protein DnaJ
TIGR00262,"tryptophan synthase, alpha subunit"
TIGR01125,ribosomal protein S12 methylthiotransferase RimO
TIGR04167,radical SAM/Cys-rich domain protein
TIGR04094,YSIRK-targeted surface antigen transcriptional regulator
TIGR00014,arsenate reductase (glutaredoxin)
TIGR01499,bifunctional protein FolC
TIGR01855,"imidazole glycerol phosphate synthase, glutamine amidotransferase subunit"
TIGR03732,"lantibiotic protection ABC transporter permease subunit, MutE/EpiE family"
TIGR03988,mycothiol system anti-sigma-R factor
TIGR01875,CRISPR-associated autoregulator DevR family
TIGR02123,"TRAP transporter, 4TM/12TM fusion protein"
TIGR01857,phosphoribosylformylglycinamidine synthase
TIGR00182,fatty acid/phospholipid synthesis protein PlsX
TIGR02841,putative sporulation protein YyaC
TIGR01383,DJ-1 family protein
TIGR03796,"NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein"
TIGR02635,L-rhamnose isomerase
TIGR03500,flagellar biosynthetic protein FliO
TIGR03527,selenium metabolism protein YedF
TIGR03381,N-carbamoylputrescine amidase
TIGR03925,type VII secretion protein EccCb
TIGR04518,"ECF transporter S component, folate family"
TIGR04215,choice-of-anchor A domain
TIGR02170,"thymidylate synthase, flavin-dependent"
TIGR01916,coenzyme F420-0:L-glutamate ligase
TIGR00759,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
TIGR01137,cystathionine beta-synthase
TIGR01978,FeS assembly ATPase SufC
TIGR01970,ATP-dependent helicase HrpB
TIGR00567,DNA-3-methyladenine glycosylase
TIGR03253,formyl-CoA transferase
TIGR01098,"phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein"
TIGR03362,"type VI secretion-associated protein, VC_A0119 family"
TIGR00698,conserved hypothetical protein
TIGR00174,tRNA dimethylallyltransferase
TIGR03352,"type VI secretion lipoprotein, VC_A0113 family"
TIGR00230,sugar fermentation stimulation protein
TIGR00330,"fructose-1,6-bisphosphatase, class II"
TIGR01672,"HAD phosphatase, family IIIB"
TIGR03111,"putative glycosyltransferase, exosortase G-associated"
TIGR02092,"glucose-1-phosphate adenylyltransferase, GlgD subunit"
TIGR01632,ribosomal protein uL11
TIGR01766,"transposase, IS605 OrfB family"
TIGR01119,"galactose-6-phosphate isomerase, LacB subunit"
TIGR03136,"Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit"
TIGR01979,"cysteine desulfurase, SufS family"
TIGR03916,putative DNA modification/repair radical SAM protein
TIGR00752,"outer membrane lipoprotein, Slp family"
TIGR01089,L-fucose isomerase
TIGR03173,xanthine permease
TIGR01097,"phosphonate ABC transporter, permease protein PhnE"
TIGR03655,"restriction alleviation protein, Lar family"
TIGR00257,"uncharacterized protein, YigZ family"
TIGR02469,"precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit"
TIGR00717,ribosomal protein bS1
TIGR00213,"D,D-heptose 1,7-bisphosphate phosphatase"
TIGR03380,agmatine deiminase
TIGR00001,ribosomal protein bL35
TIGR00318,putative adenylyl cyclase CyaB
TIGR01703,hydroxylamine reductase
TIGR01587,CRISPR-associated helicase Cas3
TIGR02038,periplasmic serine peptidase DegS
TIGR00168,translation initiation factor IF-3
TIGR03586,"pseudaminic acid synthase"
TIGR00724,biotin-dependent carboxylase uncharacterized domain
TIGR04069,peptide maturation system acyl carrier-related protein
TIGR00049,iron-sulfur cluster assembly accessory protein
TIGR01822,glycine C-acetyltransferase
TIGR00362,chromosomal replication initiator protein DnaA
TIGR01575,ribosomal-protein-alanine acetyltransferase
TIGR03419,FeS cluster assembly scaffold protein NifU
TIGR00765,YihY family inner membrane protein
