TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR00832,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR00832,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00833,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR00834,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00836,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00837,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00838,73,Glutamate family,Amino acid biosynthesis,Amino acid biosynthesis::Glutamate family
TIGR00839,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR00840,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00841,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00842,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00843,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00844,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00845,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00846,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00847,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00847,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00848,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00848,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00849,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00849,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00851,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00851,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00852,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00852,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00853,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00853,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00854,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00854,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00855,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00856,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Pyrimidine ribonucleotide biosynthesis"
TIGR00857,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Pyrimidine ribonucleotide biosynthesis"
TIGR00858,77,Biotin,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Biotin"
TIGR00859,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00860,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00861,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR00862,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00863,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00865,129,Other,Regulatory functions,Regulatory functions::Other
TIGR00867,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00868,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00869,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00870,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00871,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00872,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00873,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00874,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00875,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00876,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00877,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00878,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00879,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00881,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00882,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00883,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR00884,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00885,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00886,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00887,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00888,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00889,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins,"Transport and binding proteins::Nucleosides, purines and pyrimidines"
TIGR00890,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00891,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00892,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00893,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00894,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00895,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00896,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00897,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00898,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00899,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00900,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00901,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR00902,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00903,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00904,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00905,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00906,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00907,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00908,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00909,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00910,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00911,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00912,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00913,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00914,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR00914,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00915,94,Toxin production and resistance,Cellular processes,Cellular processes::Toxin production and resistance
TIGR00915,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR00916,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00917,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00920,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00921,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR00922,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR00924,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00926,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00927,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00928,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00930,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00931,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00932,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00933,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00934,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00935,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR00935,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00936,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR00937,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00938,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR00939,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins,"Transport and binding proteins::Nucleosides, purines and pyrimidines"
TIGR00940,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00941,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00942,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00943,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00944,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00945,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00946,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00947,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00948,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00949,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00950,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00951,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00952,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00954,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00955,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00956,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00957,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00958,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00959,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00962,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR00963,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00964,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00965,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR00966,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00967,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00968,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00969,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00970,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR00971,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00972,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00973,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR00974,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00975,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR00976,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00977,157,General,Unknown function,Unknown function::General
TIGR00978,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR00979,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR00980,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00981,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00982,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00983,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00984,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00985,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00986,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00987,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00988,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00989,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00990,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00991,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins,"Transport and binding proteins::Nucleosides, purines and pyrimidines"
TIGR00992,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00993,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00994,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00995,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00996,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR00997,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR00998,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR00999,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR01000,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR01001,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR01002,94,Toxin production and resistance,Cellular processes,Cellular processes::Toxin production and resistance
TIGR01003,700,PTS,Signal transduction,Signal transduction::PTS
TIGR01004,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR01005,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR01006,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR01007,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR01008,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01009,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01010,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR01011,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01012,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01013,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01015,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR01016,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR01017,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01018,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01019,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR01020,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01021,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01022,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01023,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01024,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01025,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01026,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01027,73,Glutamate family,Amino acid biosynthesis,Amino acid biosynthesis::Glutamate family
TIGR01028,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01029,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01030,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01031,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01032,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01033,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR01034,102,Other,Central intermediary metabolism,Central intermediary metabolism::Other
TIGR01035,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR01036,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Pyrimidine ribonucleotide biosynthesis"
TIGR01038,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01039,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01040,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01041,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01042,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01043,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01044,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01046,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01047,104,Polyamine biosynthesis,Central intermediary metabolism,Central intermediary metabolism::Polyamine biosynthesis
TIGR01048,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR01049,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01050,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01051,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01052,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01054,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01055,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01056,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01057,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01058,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01059,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01060,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR01061,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01062,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01063,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01064,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR01066,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01067,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01068,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR01069,130,Other,DNA metabolism,DNA metabolism::Other
TIGR01070,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01071,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01072,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01073,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01074,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01075,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01076,88,Other,Cell envelope,Cell envelope::Other
TIGR01076,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR01077,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01078,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR01079,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01080,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01081,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01082,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01083,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01084,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01085,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01086,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR01087,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01088,70,Aromatic amino acid family,Amino acid biosynthesis,Amino acid biosynthesis::Aromatic amino acid family
TIGR01089,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR01090,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Salvage of nucleosides and nucleotides"
TIGR01091,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Salvage of nucleosides and nucleotides"
TIGR01092,73,Glutamate family,Amino acid biosynthesis,Amino acid biosynthesis::Glutamate family
